ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
484,کار ساخته بازار,GD01014446 - فندقی,1.17,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260702-171.jpg
485,کار ساخته بازار,GD01014445,9.23,750.0,5.5,7.0,0.0,0.0,0.0,0.0,زرد,زنجیر,,,Img20260706-72.jpg
486,کار ساخته بازار,GD01014444 - فندقی,0.83,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260706-1121.jpg
487,کار ساخته بازار,GD01014442 - پروانه,0.57,750.0,5.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,مدال,,,Img20260706-890.jpg
488,کار ساخته بازار,GD01014441 - فروهر,0.78,750.0,5.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,مدال,,,Img20260705-444.jpg
489,کار ساخته بازار,GD01014440 - لیزری,1.35,750.0,5.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,مدال,,,nopicture.png
490,کار ساخته بازار,GD01014438 - برگی,2.3,750.0,4.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,مدال,,,Img20260704-401.jpg
491,کار ساخته بازار,GD01014436 - تیغ ماهی,4.58,750.0,11.0,12.0,0.0,0.0,0.0,0.0,دو رنگ,زنجیر,,,Img20260705-757.jpg
492,کار ساخته بازار,GD01014435 - شانل,2.36,750.0,4.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,گوشواره,,,Img20260705-482.jpg
493,کار ساخته بازار,GD01014434 - شانل,2.59,750.0,4.5,7.0,0.0,0.0,0.0,0.0,دو رنگ,گوشواره,,,Img20260705-557.jpg
494,کار ساخته بازار,GD01014432 - ایفل,3.41,750.0,2.9,7.0,0.0,0.0,0.0,0.0,دو رنگ,دستبند,,,Img20260705-534.jpg
495,کار ساخته بازار,GD01014431 - شانل,3.1,750.0,2.9,7.0,0.0,0.0,0.0,0.0,دو رنگ,دستبند,,,Img20260705-836.jpg
496,کار ساخته بازار,GD01014429 - دایان,4.27,750.0,3.0,7.0,0.0,0.0,0.0,0.0,دو رنگ,گردنبند,,,Img20260706-95.jpg
497,کار ساخته بازار,GD01014426 - دایان,1.21,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260706-219.jpg
498,کار ساخته بازار,GD01014425 - تراش,2.34,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260706-49.jpg
499,کار ساخته بازار,GD01014424 - تراش,2.03,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260706-848.jpg
